candidate_gene,sentence_count,unique_pmids,top_traits,top_journals,pmids
Mi-1.2,1,1,,BMC genomics,30486776
PB-F17D1,1,1,,Scientific reports,29855556
PB-F1D2,1,1,,Scientific reports,29855556
PB-F20A5,1,1,,Scientific reports,29855556
PB-F3D4,1,1,,Scientific reports,29855556
PB-F4D2,1,1,,Scientific reports,29855556
PB-F8D4,1,1,,Scientific reports,29855556
cry1Ac,1,1,,Scientific reports,29855556
GSDS2.0,1,1,,International journal of molecular sciences,30217023
qSTV11SG,1,1,,Molecular genetics and genomics : MGG,29974251
rice.9,1,1,,Frontiers in plant science,28638401
A301S,1,1,,Pesticide biochemistry and physiology,29107231
Q359E,1,1,,Pesticide biochemistry and physiology,29107231
Q359E.The,1,1,,Pesticide biochemistry and physiology,29107231
var.TN1,1,1,,Journal of insect science (Online),28365765
NlRPL5,1,1,,Journal of insect science (Online),28973571
DCL3,1,1,,Scientific reports,28821824
DCL4,1,1,,Scientific reports,28821824
RdR1,1,1,,Scientific reports,28821824
CYP6B1,1,1,,Frontiers in physiology,29249980
CYP6B33,1,1,,Frontiers in physiology,29249980
CYP6B8,1,1,,Frontiers in physiology,29249980
indole-3-carbinol,1,1,,Frontiers in physiology,29249980
RESISTANCE14,1,1,,The Plant cell,29093216
osa-miR171b,1,1,,Journal of experimental botany,28922766
Gn8.1,1,1,,Frontiers in plant science,28638401
Rf3,1,1,,Frontiers in plant science,28638401
Rf4,1,1,,Frontiers in plant science,28638401
Rf5,1,1,,Frontiers in plant science,28638401
Rf6,1,1,,Frontiers in plant science,28638401
Cry1Ca,1,1,,Scientific reports,28512299
Cry2Aa,1,1,,Scientific reports,28512299
NlSPATA5,1,1,,Scientific reports,27305948
OsLCB2a1,1,1,,Frontiers in plant science,27990147
Mp-AChE2,1,1,,Frontiers in plant science,27625654
NlHT1,1,1,,Frontiers in plant science,27625654
OsWRKY53-mediated,1,1,,Plant signaling & behavior,27031005
LOC_Os03g63150,1,1,,BMC genomics,27025496
OsMADS56,1,1,,BMC genomics,27025496
Ago-1,1,1,,Frontiers in plant science,27625654
Ago-2,1,1,,Frontiers in plant science,27625654
OsWRKY53,1,1,,Plant signaling & behavior,27031005
HPG280H,1,1,,Scientific reports,26211618
Sub1A-C,1,1,,"Rice (New York, N.Y.)",25844112
qBph3,1,1,,"Rice (New York, N.Y.)",25844112
AGO1,1,1,,eLife,25688565
ago1,1,1,,eLife,25688565
OsHI-LOX,1,1,,"Rice (New York, N.Y.)",26054241
LOC_Os01g53220,1,1,,PloS one,26133169
TCN1,1,1,,PloS one,26133169
TNG67,1,1,,PloS one,26133169
Pid3,1,1,,Genome biology,26403182
WRKY70,1,1,,eLife,26083713
T2A-1,1,1,,Ying yong sheng tai xue bao = The journal of applied ecology,25796912
cry2A,1,1,,Ying yong sheng tai xue bao = The journal of applied ecology,25796912
GSE11025,1,1,,PloS one,24646527
GSE28012,1,1,,PloS one,24646527
GSE29967,1,1,,PloS one,24646527
GSE7256,1,1,,PloS one,24646527
OsACS2,1,1,,Molecular plant,25064847
aminocyclopropane-1-carboxylic,1,1,,Molecular plant,25064847
s13059-014-0521-0,1,1,,Genome biology,25609551
DvSnf7,1,1,,International journal of biological sciences,25516715
Os-hpl3,1,1,,International journal of molecular sciences,23999587
KMD1,1,1,,PloS one,24312218
BPH27,1,1,,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,23001338
hpl3-1,1,1,,PloS one,23209649
CYP6CS1,1,1,,Bulletin of entomological research,20609275
CYP6CW1,1,1,,Bulletin of entomological research,20609275
XNpb202-C1172,1,1,,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,21384112
OsERF3,1,1,,The Plant journal : for cell and molecular biology,21831212
AY256682,1,1,,Plant physiology,21487048
Bphi008a,1,1,,Plant physiology,21487048
induced008a,1,1,,Plant physiology,21487048
BrD1,1,1,,Molecules and cells,19714315
Bph20,1,1,,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,19669727
Bph21,1,1,,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,19669727
H2SO4,1,1,,BMC plant biology,18854007
MO-1,1,1,,BMC plant biology,18854007
TN-1,1,1,,BMC plant biology,18854007
SNBC61,1,1,,Molecular genetics and genomics : MGG,18553105
Col.5,1,1,,Hereditas,17567441
AS20-1,1,1,,Molecular genetics and genomics : MGG,16395578
bph19,1,1,,Molecular genetics and genomics : MGG,16395578
BpHd002,1,1,,Zhi wu sheng li yu fen zi sheng wu xue xue bao = Journal of plant physiology and molecular biology,15599027
